playerID,yearID,stint,teamID,lgID,babip_ab_against,h_hr_actual,MLB pBABIP,career_babip_actual_500_ab_minimum,1yr_babip_actual_100_ab_minimum,3yr_babip_actual_300_ab_minimum,5yr_babip_actual_500_ab_minimum,career_babip_aactual_500_ab_minimum_Relative,1yr_babip_aactual_100_ab_minimum_Relative,3yr_babip_actual_300_ab_minimum_Relative,5yr_babip_actual_500_ab_minimum_Relative,career_babip_actual_1000_ab_minimum,1yr_babip_actual_200_ab_minimum,3yr_babip_actual_600_ab_minimum,5yr_babip_actual_1000_ab_minimum,career_babip_actual_1000_ab_minimum_Relative,1yr_babip_actual_200_ab_minimum_Relative,3yr_babip_actual_600_ab_minimum_Relative,5yr_babip_actual_1000_ab_minimum_Relative,ros_team_id,hist_id,hist_team_id,ros_player_id
ishikma02,2018,1,YKS,AL,365,102,0.295,0.29,0.381,0.381,0.293,0.985,1.29,1.291,0.992,0.29,0.381,0.381,0.293,0.985,1.29,1.291,0.992,,,,
ishikma02,2019,1,YKS,AL,410,99,0.295,0.29,0.326,0.348,0.282,0.985,1.104,1.181,0.955,0.29,0.326,0.348,0.282,0.985,1.104,1.181,0.955,,,,
ishikma02,2020,1,YKS,AL,251,78,0.295,0.29,0.384,0.365,0.287,0.985,1.302,1.236,0.972,0.29,0.384,0.365,0.287,0.985,1.302,1.236,0.972,,,,
ishikma02,2021,1,YKS,AL,270,71,0.295,0.29,0.345,0.353,0.283,0.985,1.168,1.197,0.958,0.29,0.345,0.353,0.283,0.985,1.168,1.197,0.958,,,,
ishikma02,2022,1,YKS,AL,277,77,0.295,0.29,0.347,0.35,0.271,0.985,1.176,1.186,0.92,0.29,0.347,0.35,0.271,0.985,1.176,1.186,0.92,,,,
ishikma02,2023,1,YKS,AL,209,64,0.295,0.29,0.364,0.363,0.275,0.985,1.233,1.23,0.931,0.29,0.364,0.363,0.275,0.985,1.233,1.23,0.931,,,,
ishikma02,2024,1,YKS,AL,123,41,0.295,0.29,0.376,0.388,0.293,0.985,1.275,1.317,0.993,0.29,0.376,0.388,0.293,0.985,1.275,1.317,0.993,,,,
ishikma02,2025,1,YKS,AL,91,39,0.295,0.29,0.45,0.404,0.301,0.985,1.525,1.37,1.02,0.29,0.45,0.404,0.301,0.985,1.525,1.37,1.02,,,,
ishikma03,2004,1,CHD,AL,38,13,0.295,0.295,0.371,0.372,0.295,1.0,1.259,1.261,1.0,0.295,0.371,0.372,0.295,1.0,1.259,1.261,1.0,,,,
ishikma03,2005,1,CHD,AL,4,2,0.295,0.295,0.45,0.434,0.295,1.0,1.525,1.472,1.0,0.295,0.45,0.434,0.295,1.0,1.525,1.472,1.0,,,,
ishikma03,2006,1,CHD,AL,6,3,0.295,0.295,0.45,0.419,0.295,1.0,1.525,1.42,1.0,0.295,0.45,0.419,0.295,1.0,1.525,1.42,1.0,,,,
ishikma03,2007,1,CHD,AL,0,0,0.295,0.295,0.295,0.326,0.295,1.0,1.0,1.105,1.0,0.295,0.295,0.326,0.295,1.0,1.0,1.105,1.0,,,,
ishikma03,2008,1,RKE,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishikma03,2009,1,RKE,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishikma03,2010,1,RKE,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishikmi02,1954,1,CHD,AL,0,0,0.295,0.257,0.295,0.299,0.295,0.872,1.0,1.014,1.0,0.257,0.295,0.299,0.295,0.872,1.0,1.014,1.0,,,,
ishikmi02,1955,1,CHD,AL,134,37,0.295,0.257,0.316,0.31,0.295,0.872,1.072,1.052,1.0,0.257,0.316,0.31,0.295,0.872,1.072,1.052,1.0,,,,
ishikmi02,1956,1,CHD,AL,29,8,0.295,0.257,0.308,0.304,0.295,0.872,1.043,1.029,1.0,0.257,0.308,0.304,0.295,0.872,1.043,1.029,1.0,,,,
ishikmi02,1957,1,CHD,AL,92,22,0.295,0.257,0.278,0.298,0.295,0.872,0.944,1.009,1.0,0.257,0.278,0.298,0.295,0.872,0.944,1.009,1.0,,,,
ishikmi02,1958,1,CHD,AL,63,19,0.295,0.257,0.345,0.353,0.295,0.872,1.171,1.197,1.0,0.257,0.345,0.353,0.295,0.872,1.171,1.197,1.0,,,,
ishikmi02,1959,1,CHD,AL,31,14,0.295,0.257,0.45,0.394,0.295,0.872,1.525,1.337,1.0,0.257,0.45,0.394,0.295,0.872,1.525,1.337,1.0,,,,
ishikmi02,1960,1,CHD,AL,651,147,0.295,0.257,0.276,0.332,0.242,0.872,0.937,1.125,0.822,0.257,0.276,0.332,0.242,0.872,0.937,1.125,0.822,,,,
ishikmi02,1961,1,CHD,AL,173,54,0.295,0.257,0.38,0.345,0.253,0.872,1.289,1.17,0.859,0.257,0.38,0.345,0.253,0.872,1.289,1.17,0.859,,,,
ishikmi02,1962,1,HNT,AL,421,105,0.295,0.257,0.308,0.332,0.253,0.872,1.044,1.126,0.858,0.257,0.308,0.332,0.253,0.872,1.044,1.126,0.858,,,,
ishikmi02,1963,1,HNT,AL,480,144,0.295,0.257,0.357,0.333,0.264,0.872,1.211,1.128,0.896,0.257,0.357,0.333,0.264,0.872,1.211,1.128,0.896,,,,
ishikmi02,1964,1,HNT,AL,492,113,0.295,0.257,0.285,0.302,0.254,0.872,0.965,1.023,0.861,0.257,0.285,0.302,0.254,0.872,0.965,1.023,0.861,,,,
ishikmi02,1965,1,HNT,AL,458,113,0.295,0.257,0.298,0.298,0.261,0.872,1.011,1.01,0.886,0.257,0.298,0.298,0.261,0.872,1.011,1.01,0.886,,,,
ishikmi02,1966,1,HNT,AL,495,130,0.295,0.257,0.311,0.309,0.258,0.872,1.054,1.049,0.874,0.257,0.311,0.309,0.258,0.872,1.054,1.049,0.874,,,,
ishikmi02,1967,1,HNT,AL,144,37,0.295,0.257,0.316,0.312,0.26,0.872,1.072,1.059,0.88,0.257,0.316,0.312,0.26,0.872,1.072,1.059,0.88,,,,
ishikmi02,1968,1,TOF,NL,190,48,0.295,0.257,0.302,0.303,0.248,0.872,1.023,1.028,0.84,0.257,0.302,0.303,0.248,0.872,1.023,1.028,0.84,,,,
ishikna01,2015,1,NPH,NL,0,0,0.295,0.241,0.295,0.266,0.295,0.817,1.0,0.902,1.0,0.241,0.295,0.266,0.295,0.817,1.0,0.902,1.0,,,,
ishikna01,2016,1,NPH,NL,3,0,0.295,0.241,0.15,0.236,0.295,0.817,0.508,0.798,1.0,0.241,0.15,0.236,0.295,0.817,0.508,0.798,1.0,,,,
ishikna01,2017,1,NPH,NL,163,45,0.295,0.241,0.433,0.367,0.295,0.817,1.467,1.245,1.0,0.241,0.433,0.367,0.295,0.817,1.467,1.245,1.0,,,,
ishikna01,2018,1,NPH,NL,160,40,0.295,0.241,0.388,0.387,0.295,0.817,1.316,1.312,1.0,0.241,0.388,0.387,0.295,0.817,1.316,1.312,1.0,,,,
ishikna01,2019,1,NPH,NL,179,33,0.295,0.241,0.337,0.339,0.234,0.817,1.141,1.148,0.792,0.241,0.337,0.339,0.234,0.817,1.141,1.148,0.792,,,,
ishikna01,2020,1,NPH,NL,0,0,0.295,0.241,0.295,0.303,0.234,0.817,1.0,1.028,0.792,0.241,0.295,0.303,0.234,0.817,1.0,1.028,0.792,,,,
ishikna01,2021,1,NPH,NL,0,0,0.295,0.241,0.295,0.311,0.235,0.817,1.0,1.053,0.797,0.241,0.295,0.311,0.235,0.817,1.0,1.053,0.797,,,,
ishikna01,2022,1,NPH,NL,105,25,0.295,0.241,0.373,0.369,0.295,0.817,1.265,1.252,1.0,0.241,0.373,0.369,0.295,0.817,1.265,1.252,1.0,,,,
ishikna01,2023,1,NPH,NL,50,16,0.295,0.241,0.432,0.393,0.295,0.817,1.466,1.332,1.0,0.241,0.432,0.393,0.295,0.817,1.466,1.332,1.0,,,,
ishikna01,2024,1,NPH,NL,0,0,0.295,0.241,0.295,0.322,0.295,0.817,1.0,1.093,1.0,0.241,0.295,0.322,0.295,0.817,1.0,1.093,1.0,,,,
ishikna01,2025,1,NPH,NL,0,0,0.295,0.241,0.295,0.295,0.295,0.817,1.0,1.0,1.0,0.241,0.295,0.295,0.295,0.817,1.0,1.0,1.0,,,,
ishikma03,1983,1,LTO,NL,250,77,0.295,0.318,0.367,0.34,0.295,1.078,1.243,1.151,1.0,0.318,0.367,0.34,0.295,1.078,1.243,1.151,1.0,,,,
ishikma03,1984,1,LTO,NL,579,148,0.295,0.318,0.303,0.345,0.271,1.078,1.028,1.171,0.92,0.318,0.303,0.345,0.271,1.078,1.028,1.171,0.92,,,,
ishikma03,1985,1,LTO,NL,191,86,0.295,0.318,0.45,0.421,0.305,1.078,1.525,1.426,1.034,0.318,0.45,0.421,0.305,1.078,1.525,1.426,1.034,,,,
ishikma03,1986,1,LTO,NL,51,26,0.295,0.318,0.45,0.446,0.315,1.078,1.525,1.513,1.067,0.318,0.45,0.446,0.315,1.078,1.525,1.513,1.067,,,,
ishikma03,1987,1,LTO,NL,71,25,0.295,0.318,0.431,0.421,0.317,1.078,1.461,1.426,1.075,0.318,0.431,0.421,0.317,1.078,1.461,1.426,1.075,,,,
ishikma03,1988,1,TYW,AL,216,67,0.295,0.318,0.36,0.383,0.318,1.078,1.221,1.3,1.077,0.318,0.36,0.383,0.318,1.078,1.221,1.3,1.077,,,,
ishikma03,1989,1,TYW,AL,48,15,0.295,0.318,0.405,0.382,0.38,1.078,1.374,1.295,1.287,0.318,0.405,0.382,0.38,1.078,1.374,1.295,1.287,,,,
ishikma03,1990,1,TYW,AL,30,8,0.295,0.318,0.333,0.34,0.295,1.078,1.13,1.153,1.0,0.318,0.333,0.34,0.295,1.078,1.13,1.153,1.0,,,,
ishikma03,1991,1,TYW,AL,0,0,0.295,0.318,0.295,0.334,0.295,1.078,1.0,1.131,1.0,0.318,0.295,0.334,0.295,1.078,1.0,1.131,1.0,,,,
ishikma03,1992,1,NPH,NL,34,16,0.295,0.318,0.45,0.404,0.295,1.078,1.525,1.368,1.0,0.318,0.45,0.404,0.295,1.078,1.525,1.368,1.0,,,,
ishikma03,1993,1,NPH,NL,62,19,0.295,0.318,0.373,0.373,0.295,1.078,1.263,1.263,1.0,0.318,0.373,0.373,0.295,1.078,1.263,1.263,1.0,,,,
ishiksh01,2018,1,CHD,AL,3,0,0.295,0.295,0.15,0.208,0.295,1.0,0.508,0.705,1.0,0.295,0.15,0.208,0.295,1.0,0.508,0.705,1.0,,,,
ishiksh01,2019,1,CHD,AL,0,0,0.295,0.295,0.295,0.266,0.295,1.0,1.0,0.902,1.0,0.295,0.295,0.266,0.295,1.0,1.0,0.902,1.0,,,,
ishiksh01,2020,1,CHD,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishiksh01,2021,1,CHD,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishiksh01,2022,1,CHD,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishiksh01,2023,1,CHD,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishiksh01,2024,1,CHD,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishiksh01,2025,1,CHD,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishiksh03,2014,1,SBH,NL,0,0,0.295,0.223,0.295,0.295,0.295,0.755,1.0,1.0,1.0,0.223,0.295,0.295,0.295,0.755,1.0,1.0,1.0,,,,
ishiksh03,2015,1,SBH,NL,0,0,0.295,0.223,0.295,0.295,0.295,0.755,1.0,1.0,1.0,0.223,0.295,0.295,0.295,0.755,1.0,1.0,1.0,,,,
ishiksh03,2016,1,SBH,NL,0,0,0.295,0.223,0.295,0.29,0.295,0.755,1.0,0.984,1.0,0.223,0.295,0.29,0.295,0.755,1.0,0.984,1.0,,,,
ishiksh03,2017,1,SBH,NL,324,58,0.295,0.223,0.271,0.284,0.295,0.755,0.919,0.963,1.0,0.223,0.271,0.284,0.295,0.755,0.919,0.963,1.0,,,,
ishiksh03,2018,1,SBH,NL,420,95,0.295,0.223,0.312,0.308,0.206,0.755,1.059,1.045,0.697,0.223,0.312,0.308,0.206,0.755,1.059,1.045,0.697,,,,
ishiksh03,2019,1,SBH,NL,9,2,0.295,0.223,0.333,0.309,0.206,0.755,1.13,1.046,0.698,0.223,0.333,0.309,0.206,0.755,1.13,1.046,0.698,,,,
ishiksh03,2020,1,SBH,NL,368,59,0.295,0.223,0.23,0.268,0.191,0.755,0.781,0.908,0.647,0.223,0.23,0.268,0.191,0.755,0.781,0.908,0.647,,,,
ishiksh03,2021,1,SBH,NL,515,113,0.295,0.223,0.315,0.303,0.2,0.755,1.067,1.026,0.678,0.223,0.315,0.303,0.2,0.755,1.067,1.026,0.678,,,,
ishiksh03,2022,1,SBH,NL,449,113,0.295,0.223,0.338,0.332,0.217,0.755,1.147,1.127,0.735,0.223,0.338,0.332,0.217,0.755,1.147,1.127,0.735,,,,
ishiksh03,2023,1,SBH,NL,414,93,0.295,0.223,0.332,0.328,0.217,0.755,1.126,1.113,0.734,0.223,0.332,0.328,0.217,0.755,1.126,1.113,0.734,,,,
ishiksh03,2024,1,SBH,NL,209,47,0.295,0.223,0.307,0.323,0.217,0.755,1.041,1.096,0.737,0.223,0.307,0.323,0.217,0.755,1.041,1.096,0.737,,,,
ishiksh03,2025,1,LTM,NL,340,99,0.295,0.223,0.363,0.338,0.241,0.755,1.229,1.146,0.818,0.223,0.363,0.338,0.241,0.755,1.229,1.146,0.818,,,,
ishiksh05,2008,1,HNT,AL,82,21,0.295,0.295,0.323,0.343,0.295,1.0,1.095,1.162,1.0,0.295,0.323,0.343,0.295,1.0,1.095,1.162,1.0,,,,
ishiksh05,2009,1,HNT,AL,33,11,0.295,0.295,0.45,0.425,0.295,1.0,1.525,1.439,1.0,0.295,0.45,0.425,0.295,1.0,1.525,1.439,1.0,,,,
ishiksh05,2010,1,HNT,AL,15,6,0.295,0.295,0.45,0.419,0.295,1.0,1.525,1.42,1.0,0.295,0.45,0.419,0.295,1.0,1.525,1.42,1.0,,,,
ishiksh05,2011,1,HNT,AL,0,0,0.295,0.295,0.295,0.326,0.295,1.0,1.0,1.105,1.0,0.295,0.295,0.326,0.295,1.0,1.0,1.105,1.0,,,,
ishiksh05,2012,1,HNT,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishikta03,2021,1,DNB,AL,0,0,0.295,0.295,0.295,0.282,0.295,1.0,1.0,0.956,1.0,0.295,0.295,0.282,0.295,1.0,1.0,0.956,1.0,,,,
ishikta03,2022,1,DNB,AL,17,3,0.295,0.295,0.231,0.247,0.295,1.0,0.782,0.836,1.0,0.295,0.231,0.247,0.295,1.0,0.782,0.836,1.0,,,,
ishikta03,2023,1,DNB,AL,105,17,0.295,0.295,0.246,0.27,0.295,1.0,0.835,0.914,1.0,0.295,0.246,0.27,0.295,1.0,0.835,0.914,1.0,,,,
ishikta03,2024,1,DNB,AL,46,14,0.295,0.295,0.378,0.348,0.295,1.0,1.283,1.178,1.0,0.295,0.378,0.348,0.295,1.0,1.283,1.178,1.0,,,,
ishikta03,2025,1,YMG,AL,194,52,0.295,0.295,0.356,0.348,0.295,1.0,1.207,1.181,1.0,0.295,0.356,0.348,0.295,1.0,1.207,1.181,1.0,,,,
ishikyo01,1962,1,TOF,NL,9,3,0.295,0.243,0.45,0.384,0.295,0.824,1.525,1.302,1.0,0.243,0.45,0.384,0.295,0.824,1.525,1.302,1.0,,,,
ishikyo01,1963,1,TOF,NL,909,203,0.295,0.243,0.275,0.316,0.224,0.824,0.932,1.07,0.761,0.243,0.275,0.316,0.224,0.824,0.932,1.07,0.761,,,,
ishikyo01,1964,1,TOF,NL,543,143,0.295,0.243,0.303,0.3,0.239,0.824,1.027,1.016,0.81,0.243,0.303,0.3,0.239,0.824,1.027,1.016,0.81,,,,
ishikyo01,1965,1,TOF,NL,160,45,0.295,0.243,0.315,0.308,0.243,0.824,1.067,1.045,0.824,0.243,0.315,0.308,0.243,0.824,1.067,1.045,0.824,,,,
ishikyo01,1966,1,TOF,NL,0,0,0.295,0.243,0.295,0.299,0.243,0.824,1.0,1.013,0.824,0.243,0.295,0.299,0.243,0.824,1.0,1.013,0.824,,,,
ishikyo01,1967,1,TOF,NL,0,0,0.295,0.243,0.295,0.295,0.243,0.824,1.0,1.0,0.822,0.243,0.295,0.295,0.243,0.824,1.0,1.0,0.822,,,,
ishikyo01,1968,1,TOF,NL,0,0,0.295,0.243,0.295,0.295,0.267,0.824,1.0,1.0,0.907,0.243,0.295,0.295,0.267,0.824,1.0,1.0,0.907,,,,
ishikyo02,1955,1,OST,AL,0,0,0.295,0.257,0.295,0.295,0.295,0.87,1.0,1.0,1.0,0.257,0.295,0.295,0.295,0.87,1.0,1.0,1.0,,,,
ishikyo02,1956,1,OST,AL,0,0,0.295,0.257,0.295,0.297,0.295,0.87,1.0,1.008,1.0,0.257,0.295,0.297,0.295,0.87,1.0,1.008,1.0,,,,
ishikyo02,1957,1,OST,AL,724,178,0.295,0.257,0.307,0.304,0.246,0.87,1.042,1.032,0.833,0.257,0.307,0.304,0.246,0.87,1.042,1.032,0.833,,,,
ishikyo02,1958,1,OST,AL,436,109,0.295,0.257,0.304,0.3,0.247,0.87,1.032,1.017,0.839,0.257,0.304,0.3,0.247,0.87,1.032,1.017,0.839,,,,
ishikyo02,1959,1,OST,AL,502,120,0.295,0.257,0.28,0.288,0.245,0.87,0.948,0.976,0.83,0.257,0.28,0.288,0.245,0.87,0.948,0.976,0.83,,,,
ishikyo02,1960,1,OST,AL,420,104,0.295,0.257,0.296,0.307,0.245,0.87,1.004,1.039,0.832,0.257,0.296,0.307,0.245,0.87,1.004,1.039,0.832,,,,
ishikyo02,1961,1,HNT,AL,220,66,0.295,0.257,0.365,0.361,0.251,0.87,1.236,1.224,0.85,0.257,0.365,0.361,0.251,0.87,1.236,1.224,0.85,,,,
ishikyo02,1962,1,HNT,AL,84,32,0.295,0.257,0.416,0.412,0.259,0.87,1.409,1.398,0.879,0.257,0.416,0.412,0.259,0.87,1.409,1.398,0.879,,,,
ishikyo02,1963,1,HNT,AL,14,7,0.295,0.257,0.45,0.412,0.265,0.87,1.525,1.397,0.899,0.257,0.45,0.412,0.265,0.87,1.525,1.397,0.899,,,,
ishimsh02,1941,1,CHD,AL,0,0,0.295,0.184,0.295,0.278,0.295,0.625,1.0,0.942,1.0,0.184,0.295,0.278,0.295,0.625,1.0,0.942,1.0,,,,
ishimsh02,1942,1,CHD,AL,1147,219,0.295,0.184,0.21,0.224,0.191,0.625,0.71,0.758,0.647,0.184,0.21,0.224,0.191,0.625,0.71,0.758,0.647,,,,
ishimsh02,1943,1,CHD,AL,1027,182,0.295,0.184,0.195,0.218,0.184,0.625,0.661,0.739,0.625,0.184,0.195,0.218,0.184,0.625,0.661,0.739,0.625,,,,
ishimyo01,1981,1,KNB,NL,94,23,0.295,0.241,0.329,0.315,0.295,0.817,1.114,1.068,1.0,0.241,0.329,0.315,0.295,0.817,1.114,1.068,1.0,,,,
ishimyo01,1982,1,KNB,NL,0,0,0.295,0.241,0.295,0.302,0.295,0.817,1.0,1.023,1.0,0.241,0.295,0.302,0.295,0.817,1.0,1.023,1.0,,,,
ishimyo01,1983,1,KNB,NL,1,3,0.295,0.241,0.295,0.289,0.295,0.817,1.0,0.981,1.0,0.241,0.295,0.289,0.295,0.817,1.0,0.981,1.0,,,,
ishimyo01,1984,1,KNB,NL,15,4,0.295,0.241,0.267,0.279,0.295,0.817,0.904,0.944,1.0,0.241,0.267,0.279,0.295,0.817,0.904,0.944,1.0,,,,
ishimyo01,1985,1,KNB,NL,433,101,0.295,0.241,0.298,0.296,0.241,0.817,1.01,1.002,0.818,0.241,0.298,0.296,0.241,0.817,1.01,1.002,0.818,,,,
ishimyo01,1986,1,KNB,NL,386,89,0.295,0.241,0.318,0.301,0.236,0.817,1.077,1.019,0.8,0.241,0.318,0.301,0.236,0.817,1.077,1.019,0.8,,,,
ishimyo01,1987,1,KNB,NL,266,45,0.295,0.241,0.251,0.286,0.22,0.817,0.852,0.968,0.745,0.241,0.251,0.286,0.22,0.817,0.852,0.968,0.745,,,,
ishimyo01,1988,1,KNB,NL,180,53,0.295,0.241,0.356,0.339,0.228,0.817,1.206,1.15,0.773,0.241,0.356,0.339,0.228,0.817,1.206,1.15,0.773,,,,
ishimyo01,1989,1,KNB,NL,101,31,0.295,0.241,0.378,0.366,0.234,0.817,1.282,1.24,0.792,0.241,0.378,0.366,0.234,0.817,1.282,1.24,0.792,,,,
ishimyo01,1990,1,KNB,NL,125,36,0.295,0.241,0.34,0.369,0.24,0.817,1.151,1.252,0.814,0.241,0.34,0.369,0.24,0.817,1.151,1.252,0.814,,,,
ishimyo01,1991,1,KNB,NL,5,2,0.295,0.241,0.45,0.397,0.247,0.817,1.525,1.346,0.836,0.241,0.45,0.397,0.247,0.817,1.525,1.346,0.836,,,,
ishimyo01,1991,2,CHD,AL,5,2,0.295,0.241,0.45,0.397,0.247,0.817,1.525,1.346,0.836,0.241,0.45,0.397,0.247,0.817,1.525,1.346,0.836,,,,
ishimyo01,1992,1,CHD,AL,0,0,0.295,0.241,0.295,0.326,0.295,0.817,1.0,1.105,1.0,0.241,0.295,0.326,0.295,0.817,1.0,1.105,1.0,,,,
ishinhi01,1988,1,HRC,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishinhi01,1989,1,HRC,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishinhi01,1990,1,HRC,AL,3,2,0.295,0.295,0.295,0.279,0.295,1.0,1.0,0.946,1.0,0.295,0.295,0.279,0.295,1.0,1.0,0.946,1.0,,,,
ishinhi01,1991,1,HRC,AL,165,27,0.295,0.295,0.216,0.276,0.295,1.0,0.732,0.935,1.0,0.295,0.216,0.276,0.295,1.0,0.732,0.935,1.0,,,,
ishinhi01,1992,1,HRC,AL,91,31,0.295,0.295,0.437,0.364,0.295,1.0,1.48,1.234,1.0,0.295,0.437,0.364,0.295,1.0,1.48,1.234,1.0,,,,
ishinhi01,1993,1,HRC,AL,0,0,0.295,0.295,0.295,0.323,0.295,1.0,1.0,1.096,1.0,0.295,0.295,0.323,0.295,1.0,1.0,1.096,1.0,,,,
ishinhi01,1994,1,HRC,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishinhi01,1995,1,HRC,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishinhi01,1995,2,DHH,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishinhi01,1996,1,LTM,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
ishioko01,1964,1,KKS,AL,243,54,0.295,0.229,0.271,0.304,0.295,0.775,0.92,1.03,1.0,0.229,0.271,0.304,0.295,0.775,0.92,1.03,1.0,,,,
ishioko01,1965,1,SKS,AL,174,53,0.295,0.229,0.411,0.348,0.295,0.775,1.393,1.18,1.0,0.229,0.411,0.348,0.295,0.775,1.393,1.18,1.0,,,,
ishioko01,1966,1,SKA,AL,307,57,0.295,0.229,0.237,0.293,0.227,0.775,0.802,0.992,0.768,0.229,0.237,0.293,0.227,0.775,0.802,0.992,0.768,,,,
ishioko01,1967,1,SKA,AL,195,52,0.295,0.229,0.342,0.307,0.235,0.775,1.16,1.039,0.797,0.229,0.342,0.307,0.235,0.775,1.16,1.039,0.797,,,,
ishioko01,1968,1,SKA,AL,745,151,0.295,0.229,0.27,0.3,0.221,0.775,0.916,1.016,0.748,0.229,0.27,0.3,0.221,0.775,0.916,1.016,0.748,,,,
ishioko01,1969,1,ATM,AL,672,180,0.295,0.229,0.345,0.323,0.236,0.775,1.171,1.096,0.798,0.229,0.345,0.323,0.236,0.775,1.171,1.096,0.798,,,,
ishioko01,1970,1,YKA,AL,511,121,0.295,0.229,0.31,0.311,0.231,0.775,1.052,1.053,0.783,0.229,0.31,0.311,0.231,0.775,1.052,1.053,0.783,,,,
ishioko01,1971,1,YKA,AL,507,109,0.295,0.229,0.277,0.287,0.233,0.775,0.94,0.972,0.79,0.229,0.277,0.287,0.233,0.775,0.94,0.972,0.79,,,,
ishioko01,1972,1,YKA,AL,257,57,0.295,0.229,0.291,0.32,0.23,0.775,0.986,1.085,0.778,0.229,0.291,0.32,0.23,0.775,0.986,1.085,0.778,,,,
ishioko01,1973,1,YKA,AL,28,13,0.295,0.229,0.45,0.363,0.243,0.775,1.525,1.231,0.824,0.229,0.45,0.363,0.243,0.775,1.525,1.231,0.824,,,,
ishioko01,1974,1,YKS,AL,232,31,0.295,0.229,0.175,0.248,0.216,0.775,0.594,0.841,0.731,0.229,0.175,0.248,0.216,0.775,0.594,0.841,0.731,,,,
ishioko01,1975,1,YKS,AL,199,45,0.295,0.229,0.265,0.277,0.209,0.775,0.897,0.938,0.707,0.229,0.265,0.277,0.209,0.775,0.897,0.938,0.707,,,,
ishioko01,1976,1,YKS,AL,74,24,0.295,0.229,0.414,0.36,0.215,0.775,1.403,1.221,0.729,0.229,0.414,0.36,0.215,0.775,1.403,1.221,0.729,,,,
ishitsh01,1962,1,KKS,AL,7,3,0.295,0.27,0.45,0.416,0.295,0.915,1.525,1.412,1.0,0.27,0.45,0.416,0.295,0.915,1.525,1.412,1.0,,,,
ishitsh01,1963,1,KKS,AL,57,21,0.295,0.27,0.438,0.43,0.295,0.915,1.483,1.459,1.0,0.27,0.438,0.43,0.295,0.915,1.483,1.459,1.0,,,,
ishitsh01,1964,1,KKS,AL,19,7,0.295,0.27,0.389,0.381,0.295,0.915,1.318,1.291,1.0,0.27,0.389,0.381,0.295,0.915,1.318,1.291,1.0,,,,
ishitsh01,1965,1,SKS,AL,643,168,0.295,0.27,0.301,0.32,0.274,0.915,1.019,1.086,0.929,0.27,0.301,0.32,0.274,0.915,1.019,1.086,0.929,,,,
ishitsh01,1966,1,SKA,AL,694,189,0.295,0.27,0.311,0.314,0.273,0.915,1.055,1.065,0.926,0.27,0.311,0.314,0.273,0.915,1.055,1.065,0.926,,,,
ishitsh01,1967,1,SKA,AL,806,232,0.295,0.27,0.337,0.321,0.278,0.915,1.141,1.089,0.943,0.27,0.337,0.321,0.278,0.915,1.141,1.089,0.943,,,,
